timestamp,PointerPosition,missionName,lastMissionState,missionEvent
14:48:43:5954,"(0.00, 0.00)",W-21_S-1,,nextMission
14:48:45:7097,"(0.00, 0.00)",,,
14:48:45:8946,"(0.00, 0.00)",,,
14:48:45:9213,"(0.00, 0.00)",,,
14:48:45:9448,"(0.00, 0.00)",,,
14:48:45:9776,"(0.00, 0.00)",,,
14:48:45:9873,"(0.00, 0.00)",,,
14:48:45:9973,"(0.00, 0.00)",,,
14:48:46:0061,"(0.00, 0.00)",,,
14:48:46:0159,"(0.00, 0.00)",,,
14:48:46:0272,"(0.00, 0.00)",,,
14:48:46:0378,"(0.00, 0.00)",,,
14:48:46:0474,"(0.00, 0.00)",,,
14:48:46:0566,"(0.00, 0.00)",,,
14:48:46:0664,"(0.00, 0.00)",,,
14:48:46:0763,"(0.00, 0.00)",,,
14:48:46:0872,"(0.00, 0.00)",,,
14:48:46:0968,"(0.00, 0.00)",,,
14:48:46:1068,"(0.00, 0.00)",,,
14:48:46:1172,"(0.00, 0.00)",,,
14:48:46:1273,"(0.00, 0.00)",,,
14:48:46:1375,"(0.00, 0.00)",,,
14:48:46:1465,"(0.00, 0.00)",,,
14:48:46:1577,"(0.00, 0.00)",,,
14:48:46:1658,"(0.00, 0.00)",,,
14:48:46:1759,"(0.00, 0.00)",,,
14:48:46:1835,"(0.00, 0.00)",,,
14:48:46:1931,"(0.00, 0.00)",,,
14:48:46:2002,"(0.00, 0.00)",,,
14:48:46:2098,"(0.00, 0.00)",,,
14:48:46:2186,"(0.00, 0.00)",,,
14:48:46:2272,"(0.00, 0.00)",,,
14:48:46:2368,"(0.00, 0.00)",,,
14:48:46:2517,"(0.00, 0.00)",,,
14:48:46:2672,"(0.00, 0.00)",,,
14:48:46:2829,"(0.00, 0.00)",,,
14:48:46:2952,"(0.00, 0.00)",,,
14:48:46:3073,"(0.00, 0.00)",,,
14:48:46:3204,"(0.00, 0.00)",,,
14:48:46:3342,"(0.00, 0.00)",,,
14:48:46:3512,"(0.00, 0.00)",,,
14:48:46:3655,"(0.00, 0.00)",,,
14:48:46:3822,"(0.00, 0.00)",,,
14:48:46:3959,"(0.00, 0.00)",,,
14:48:46:4125,"(0.00, 0.00)",,,
14:48:46:4274,"(0.00, 0.00)",,,
14:48:46:4476,"(0.00, 0.00)",,,
14:48:46:5142,"(0.00, 0.00)",,,
14:48:46:5364,"(0.00, 0.00)",,,
14:48:46:5546,"(0.00, 0.00)",,,
14:48:46:5661,"(0.00, 0.00)",,,
14:48:46:5757,"(0.00, 0.00)",,,
14:48:46:5839,"(0.00, 0.00)",,,
14:48:46:5940,"(0.00, 0.00)",,,
14:48:46:6026,"(0.00, 0.00)",,,
14:48:46:6122,"(0.00, 0.00)",,,
14:48:46:6213,"(0.00, 0.00)",,,
14:48:46:6289,"(0.00, 0.00)",,,
14:48:46:6380,"(0.00, 0.00)",,,
14:48:46:6458,"(0.00, 0.00)",,,
14:48:46:6539,"(0.00, 0.00)",,,
14:48:46:6627,"(0.00, 0.00)",,,
14:48:46:6723,"(0.00, 0.00)",,,
14:48:46:6809,"(0.00, 0.00)",,,
14:48:46:6894,"(0.00, 0.00)",,,
14:48:46:6975,"(0.00, 0.00)",,,
14:48:46:7087,"(0.00, 0.00)",,,
14:48:46:7169,"(0.00, 0.00)",,,
14:48:46:7256,"(0.00, 0.00)",,,
14:48:46:7331,"(0.00, 0.00)",,,
14:48:46:7428,"(0.00, 0.00)",,,
14:48:46:7511,"(0.00, 0.00)",,,
14:48:46:7593,"(0.00, 0.00)",,,
14:48:46:7703,"(0.00, 0.00)",,,
14:48:46:7821,"(0.00, 0.00)",,,
14:48:46:7947,"(0.00, 0.00)",,,
14:48:46:8054,"(0.00, 0.00)",,,
14:48:46:8138,"(0.00, 0.00)",,,
14:48:46:8283,"(0.00, 0.00)",,,
14:48:46:8355,"(0.00, 0.00)",,,
14:48:46:8450,"(0.00, 0.00)",,,
14:48:46:8549,"(0.00, 0.00)",,,
14:48:46:8646,"(0.00, 0.00)",,,
14:48:46:8733,"(0.00, 0.00)",,,
14:48:46:8812,"(0.00, 0.00)",,,
14:48:46:8909,"(0.00, 0.00)",,,
14:48:46:8977,"(0.00, 0.00)",,,
14:48:46:9064,"(0.00, 0.00)",,,
14:48:46:9163,"(0.00, 0.00)",,,
14:48:46:9246,"(0.00, 0.00)",,,
14:48:46:9332,"(0.00, 0.00)",,,
14:48:46:9423,"(0.00, 0.00)",,,
14:48:46:9500,"(0.00, 0.00)",,,
14:48:46:9586,"(0.00, 0.00)",,,
14:48:46:9662,"(0.00, 0.00)",,,
14:48:46:9871,"(0.00, 0.00)",,,
14:48:46:9989,"(0.00, 0.00)",,,
14:48:47:0101,"(0.00, 0.00)",,,
14:48:47:0179,"(0.00, 0.00)",,,
14:48:47:0271,"(0.00, 0.00)",,,
14:48:47:0372,"(0.00, 0.00)",,,
14:48:47:0458,"(0.00, 0.00)",,,
14:48:47:0543,"(0.00, 0.00)",,,
14:48:47:0620,"(0.00, 0.00)",,,
14:48:47:0705,"(0.00, 0.00)",,,
14:48:47:0797,"(0.00, 0.00)",,,
14:48:47:1151,"(0.00, 0.00)",,,
