timestamp,PointerPosition,SubState,missionName,lastMissionState,missionEvent
15:12:50:4817,"(0.00, 0.00)",,W-29_S-1,,nextMission
15:12:53:4501,"(0.00, 0.00)",,,,
15:12:53:7461,"(0.00, 0.00)",,,,
15:12:53:7759,"(0.00, 0.00)",,,,
15:12:53:7943,"(0.00, 0.00)",,,,
15:12:53:8030,"(0.00, 0.00)",,,,
15:12:53:8140,"(0.00, 0.00)",,,,
15:12:53:8232,"(0.00, 0.00)",,,,
15:12:53:8321,"(0.00, 0.00)",,,,
15:12:53:8428,"(0.00, 0.00)",,,,
15:12:53:8515,"(0.00, 0.00)",,,,
15:12:53:8600,"(0.00, 0.00)",,,,
15:12:53:8695,"(0.00, 0.00)",,,,
15:12:53:8792,"(0.00, 0.00)",,,,
15:12:53:8872,"(0.00, 0.00)",,,,
15:12:53:8968,"(0.00, 0.00)",,,,
15:12:53:9053,"(0.00, 0.00)",,,,
15:12:53:9144,"(0.00, 0.00)",,,,
15:12:53:9262,"(0.00, 0.00)",,,,
15:12:53:9339,"(0.00, 0.00)",,,,
15:12:53:9438,"(0.00, 0.00)",,,,
15:12:53:9516,"(0.00, 0.00)",,,,
15:12:53:9618,"(0.00, 0.00)",,,,
15:12:53:9698,"(0.00, 0.00)",,,,
15:12:53:9809,"(0.00, 0.00)",,,,
15:12:53:9943,"(0.00, 0.00)",,,,
15:12:54:0086,"(0.00, 0.00)",,,,
15:12:54:0236,"(0.00, 0.00)",,,,
15:12:54:0397,"(0.00, 0.00)",,,,
15:12:54:0557,"(0.00, 0.00)",,,,
15:12:54:0691,"(0.00, 0.00)",,,,
15:12:54:0830,"(0.00, 0.00)",,,,
15:12:54:0993,"(0.00, 0.00)",,,,
15:12:54:1151,"(0.00, 0.00)",,,,
15:12:54:1277,"(0.00, 0.00)",,,,
15:12:54:1431,"(0.00, 0.00)",,,,
15:12:54:1602,"(0.00, 0.00)",,,,
15:12:54:1752,"(0.00, 0.00)",,,,
15:12:54:1870,"(0.00, 0.00)",,,,
15:12:54:2029,"(0.00, 0.00)",,,,
15:12:54:2214,"(0.00, 0.00)",,,,
15:12:54:2367,"(0.00, 0.00)",,,,
15:12:54:2537,"(0.00, 0.00)",,,,
15:12:54:2698,"(0.00, 0.00)",,,,
15:12:54:2867,"(0.00, 0.00)",,,,
15:12:54:3046,"(0.00, 0.00)",,,,
15:12:54:3220,"(0.00, 0.00)",,,,
15:12:54:3390,"(0.00, 0.00)",,,,
15:12:54:3586,"(0.00, 0.00)",,,,
15:12:54:3752,"(0.00, 0.00)",,,,
15:12:54:3880,"(0.00, 0.00)",,,,
15:12:54:3999,"(0.00, 0.00)",,,,
15:12:54:4128,"(0.00, 0.00)",,,,
15:12:54:4262,"(0.00, 0.00)",,,,
15:12:54:4355,"(0.00, 0.00)",,,,
15:12:54:4484,"(0.00, 0.00)",,,,
15:12:54:4593,"(0.00, 0.00)",,,,
15:12:54:4699,"(0.00, 0.00)",,,,
15:12:54:4840,"(0.00, 0.00)",,,,
15:12:54:4957,"(0.00, 0.00)",,,,
15:12:54:5056,"(0.00, 0.00)",,,,
15:12:54:5202,"(0.00, 0.00)",,,,
15:12:54:5316,"(0.00, 0.00)",,,,
15:12:54:5434,"(0.00, 0.00)",,,,
15:12:54:5545,"(0.00, 0.00)",,,,
15:12:54:5669,"(0.00, 0.00)",,,,
15:12:54:5764,"(0.00, 0.00)",,,,
15:12:54:5880,"(0.00, 0.00)",,,,
15:12:54:5994,"(0.00, 0.00)",,,,
15:12:54:6113,"(0.00, 0.00)",,,,
15:12:54:6215,"(0.00, 0.00)",,,,
15:12:54:6353,"(0.00, 0.00)",,,,
15:12:54:6500,"(0.00, 0.00)",,,,
15:12:54:6629,"(0.00, 0.00)",,,,
15:12:54:6731,"(0.00, 0.00)",,,,
15:12:54:6832,"(0.00, 0.00)",,,,
15:12:54:6950,"(0.00, 0.00)",,,,
15:12:54:7032,"(0.00, 0.00)",,,,
15:12:54:7159,"(0.00, 0.00)",,,,
15:12:54:7272,"(0.00, 0.00)",,,,
15:12:54:7409,"(0.00, 0.00)",,,,
15:12:54:7517,"(0.00, 0.00)",,,,
15:12:54:7633,"(0.00, 0.00)",,,,
15:12:54:7715,"(0.00, 0.00)",,,,
15:12:54:7819,"(0.00, 0.00)",,,,
15:12:54:7944,"(0.00, 0.00)",,,,
15:12:54:8051,"(0.00, 0.00)",,,,
15:12:54:8182,"(0.00, 0.00)",,,,
15:12:54:8299,"(0.00, 0.00)",,,,
15:12:54:8387,"(0.00, 0.00)",,,,
15:12:54:8498,"(0.00, 0.00)",,,,
15:12:54:8606,"(0.00, 0.00)",,,,
15:12:54:8710,"(0.00, 0.00)",,,,
15:12:54:8853,"(0.00, 0.00)",,,,
15:12:54:8965,"(0.00, 0.00)",,,,
15:12:54:9045,"(0.00, 0.00)",,,,
15:12:54:9145,"(0.00, 0.00)",,,,
15:12:54:9246,"(0.00, 0.00)",,,,
15:12:54:9322,"(0.00, 0.00)",,,,
15:12:54:9428,"(0.00, 0.00)",,,,
15:12:54:9524,"(0.00, 0.00)",,,,
15:12:54:9621,"(0.00, 0.00)",,,,
15:12:54:9707,"(0.00, 0.00)",,,,
15:12:54:9818,"(0.00, 0.00)",,,,
15:12:54:9909,"(0.00, 0.00)",,,,
15:12:55:0033,"(0.00, 0.00)",,,,
15:12:55:0161,"(0.00, 0.00)",,,,
15:12:55:0288,"(0.00, 0.00)",,,,
15:12:55:0400,"(0.00, 0.00)",,,,
15:12:55:0520,"(0.00, 0.00)",,,,
15:12:55:0644,"(0.00, 0.00)",,,,
15:12:55:0759,"(0.00, 0.00)",,,,
15:12:55:0859,"(0.00, 0.00)",,,,
15:12:55:0989,"(0.00, 0.00)",,,,
15:12:55:1116,"(0.00, 0.00)",,,,
15:12:55:1241,"(0.00, 0.00)",,,,
15:12:55:1372,"(0.00, 0.00)",,,,
15:12:55:1493,"(0.00, 0.00)",,,,
15:12:55:1609,"(0.00, 0.00)",,,,
15:12:55:1751,"(0.00, 0.00)",,,,
15:12:55:1851,"(0.00, 0.00)",,,,
15:12:55:1977,"(0.00, 0.00)",,,,
15:12:55:2098,"(0.00, 0.00)",,,,
15:12:55:2215,"(0.00, 0.00)",,,,
15:12:55:2342,"(0.00, 0.00)",,,,
15:12:55:2463,"(0.00, 0.00)",,,,
15:12:55:2619,"(0.00, 0.00)",,,,
15:12:55:2778,"(0.00, 0.00)",,,,
15:12:55:2941,"(0.00, 0.00)",,,,
15:12:55:3098,"(0.00, 0.00)",,,,
15:12:55:3249,"(0.00, 0.00)",,,,
15:12:55:3376,"(0.00, 0.00)",,,,
15:12:55:3511,"(0.00, 0.00)",,,,
15:12:55:3629,"(0.00, 0.00)",,,,
15:12:55:3783,"(0.00, 0.00)",,,,
15:12:55:3930,"(0.00, 0.00)",,,,
15:12:55:4083,"(0.00, 0.00)",,,,
15:12:55:4249,"(0.00, 0.00)",,,,
15:12:55:4364,"(0.00, 0.00)",,,,
15:12:55:4498,"(0.00, 0.00)",,,,
15:12:55:4607,"(0.00, 0.00)",,,,
15:12:55:4677,"(0.00, 0.00)",,,,
15:12:55:4764,"(0.00, 0.00)",,,,
15:12:55:4829,"(0.00, 0.00)",,,,
15:12:55:4922,"(0.00, 0.00)",,,,
15:12:55:4988,"(0.00, 0.00)",,,,
15:12:55:5083,"(0.00, 0.00)",,,,
15:12:55:5149,"(0.00, 0.00)",,,,
15:12:55:5255,"(0.00, 0.00)",,,,
15:12:55:5336,"(0.00, 0.00)",,,,
15:12:55:5436,"(0.00, 0.00)",,,,
15:12:55:5517,"(0.00, 0.00)",,,,
15:12:55:5604,"(0.00, 0.00)",,,,
15:12:55:5687,"(0.00, 0.00)",,,,
15:12:55:5758,"(0.00, 0.00)",,,,
15:12:55:5840,"(0.00, 0.00)",,,,
15:12:55:5926,"(0.00, 0.00)",,,,
15:12:55:5997,"(0.00, 0.00)",,,,
15:12:55:6091,"(0.00, 0.00)",,,,
15:12:55:6162,"(0.00, 0.00)",,,,
15:12:55:6253,"(0.00, 0.00)",,,,
15:12:55:6329,"(0.00, 0.00)",,,,
15:12:55:6421,"(0.00, 0.00)",,,,
15:12:55:6508,"(0.00, 0.00)",,,,
15:12:55:6616,"(0.00, 0.00)",,,,
15:12:55:6693,"(0.00, 0.00)",,,,
15:12:55:6779,"(0.00, 0.00)",,,,
15:12:55:6881,"(0.00, 0.00)",,,,
15:12:55:6977,"(0.00, 0.00)",,,,
15:12:55:7055,"(0.00, 0.00)",,,,
15:12:55:7135,"(0.00, 0.00)",,,,
15:12:55:7210,"(0.00, 0.00)",,,,
15:12:55:7289,"(0.00, 0.00)",,,,
15:12:55:7376,"(0.00, 0.00)",,,,
15:12:55:7457,"(0.00, 0.00)",,,,
15:12:55:7542,"(0.00, 0.00)",,,,
15:12:55:7623,"(0.00, 0.00)",,,,
15:12:55:7694,"(0.00, 0.00)",,,,
15:12:55:7780,"(0.00, 0.00)",,,,
15:12:55:7881,"(0.00, 0.00)",,,,
15:12:55:7971,"(0.00, 0.00)",,,,
15:12:55:8069,"(0.00, 0.00)",,,,
15:12:55:8140,"(0.00, 0.00)",,,,
15:12:55:8231,"(0.00, 0.00)",,,,
15:12:55:8311,"(0.00, 0.00)",,,,
15:12:55:8381,"(0.00, 0.00)",,,,
15:12:55:8478,"(0.00, 0.00)",,,,
15:12:55:8553,"(0.00, 0.00)",,,,
15:12:55:8639,"(0.00, 0.00)",,,,
15:12:55:8710,"(0.00, 0.00)",,,,
15:12:55:8807,"(0.00, 0.00)",,,,
15:12:55:8899,"(0.00, 0.00)",,,,
15:12:55:8970,"(0.00, 0.00)",,,,
15:12:55:9076,"(0.00, 0.00)",,,,
15:12:55:9144,"(0.00, 0.00)",,,,
15:12:55:9250,"(0.00, 0.00)",,,,
15:12:55:9315,"(0.00, 0.00)",,,,
15:12:55:9414,"(0.00, 0.00)",,,,
15:12:55:9486,"(0.00, 0.00)",,,,
15:12:55:9580,"(0.00, 0.00)",,,,
15:12:55:9746,"(0.00, 0.00)",,,,
15:12:55:9867,"(0.00, 0.00)",,,,
15:12:55:9991,"(0.00, 0.00)",,,,
15:12:56:0157,"(0.00, 0.00)",,,,
15:12:56:0317,"(0.00, 0.00)",,,,
15:12:56:0490,"(0.00, 0.00)",,,,
15:12:56:0682,"(0.00, 0.00)",,,,
15:12:56:0872,"(0.00, 0.00)",,,,
15:12:56:1062,"(0.00, 0.00)",,,,
15:12:56:1232,"(0.00, 0.00)",,,,
15:12:56:1394,"(0.00, 0.00)",,,,
15:12:56:1569,"(0.00, 0.00)",,,,
15:12:56:1747,"(0.00, 0.00)",,,,
15:12:56:1902,"(0.00, 0.00)",,,,
15:12:56:2107,"(0.00, 0.00)",,,,
15:12:56:2297,"(0.00, 0.00)",,,,
15:12:56:2530,"(0.00, 0.00)",,,,
15:12:56:2692,"(0.00, 0.00)",,,,
15:12:56:2854,"(0.00, 0.00)",,,,
15:12:56:3033,"(0.00, 0.00)",,,,
15:12:56:3192,"(0.00, 0.00)",,,,
15:12:56:3356,"(0.00, 0.00)",,,,
15:12:56:3534,"(0.00, 0.00)",,,,
15:12:56:3699,"(0.00, 0.00)",,,,
15:12:56:3880,"(0.00, 0.00)",,,,
15:12:56:4068,"(0.00, 0.00)",,,,
15:12:56:4232,"(0.00, 0.00)",,,,
15:12:56:4442,"(0.00, 0.00)",,,,
15:12:56:4609,"(0.00, 0.00)",,,,
15:12:56:4777,"(0.00, 0.00)",,,,
15:12:56:4975,"(0.00, 0.00)",,,,
15:12:56:5173,"(0.00, 0.00)",,,,
15:12:56:5340,"(0.00, 0.00)",,,,
15:12:56:5528,"(0.00, 0.00)",,,,
15:12:56:5696,"(0.00, 0.00)",,,,
15:12:56:5874,"(0.00, 0.00)",,,,
15:12:56:6038,"(0.00, 0.00)",,,,
15:12:56:6202,"(0.00, 0.00)",,,,
15:12:56:6405,"(0.00, 0.00)",,,,
15:12:56:6637,"(0.00, 0.00)",,,,
15:12:56:6852,"(0.00, 0.00)",,,,
15:12:56:7063,"(0.00, 0.00)",,,,
15:12:56:7304,"(0.00, 0.00)",,,,
15:12:56:7487,"(0.00, 0.00)",,,,
15:12:56:7675,"(0.00, 0.00)",,,,
15:12:56:7871,"(0.00, 0.00)",,,,
15:12:56:8047,"(0.00, 0.00)",,,,
15:12:56:8210,"(0.00, 0.00)",,,,
15:12:56:8421,"(0.00, 0.00)",,,,
15:12:56:8577,"(0.00, 0.00)",,,,
15:12:56:8758,"(0.00, 0.00)",,,,
15:12:56:8961,"(0.00, 0.00)",,,,
15:12:56:9144,"(0.00, 0.00)",,,,
15:12:56:9318,"(0.00, 0.00)",,,,
15:12:56:9479,"(0.00, 0.00)",,,,
15:12:56:9632,"(0.00, 0.00)",,,,
15:12:56:9787,"(0.00, 0.00)",,,,
15:12:56:9946,"(0.00, 0.00)",,,,
15:12:57:0105,"(0.00, 0.00)",,,,
15:12:57:0308,"(0.00, 0.00)",,,,
15:12:57:0475,"(0.00, 0.00)",,,,
15:12:57:0652,"(0.00, 0.00)",,,,
15:12:57:0841,"(0.00, 0.00)",,,,
15:12:57:1029,"(0.00, 0.00)",,,,
15:12:57:1222,"(0.00, 0.00)",,,,
15:12:57:1470,"(0.00, 0.00)",,,,
15:12:57:1679,"(0.00, 0.00)",,,,
15:12:57:1883,"(0.00, 0.00)",,,,
15:12:57:2071,"(0.00, 0.00)",,,,
15:12:57:2217,"(0.00, 0.00)",,,,
15:12:57:2375,"(0.00, 0.00)",,,,
15:12:57:2530,"(0.00, 0.00)",,,,
15:12:57:2674,"(0.00, 0.00)",,,,
15:12:57:2830,"(0.00, 0.00)",,,,
15:12:57:2973,"(0.00, 0.00)",,,,
15:12:57:3136,"(0.00, 0.00)",,,,
15:12:57:3283,"(0.00, 0.00)",,,,
15:12:57:3460,"(0.00, 0.00)",,,,
15:12:57:3655,"(0.00, 0.00)",,,,
15:12:57:3820,"(0.00, 0.00)",,,,
15:12:57:3972,"(0.00, 0.00)",,,,
15:12:57:4117,"(0.00, 0.00)",,,,
15:12:57:4270,"(0.00, 0.00)",,,,
15:12:57:4416,"(0.00, 0.00)",,,,
15:12:57:4558,"(0.00, 0.00)",,,,
15:12:57:4710,"(0.00, 0.00)",,,,
15:12:57:4873,"(0.00, 0.00)",,,,
15:12:57:5041,"(0.00, 0.00)",,,,
15:12:57:5190,"(0.00, 0.00)",,,,
15:12:57:5361,"(0.00, 0.00)",,,,
15:12:57:5512,"(0.00, 0.00)",,,,
15:12:57:5638,"(0.00, 0.00)",,,,
15:12:57:5708,"(0.00, 0.00)",,,,
15:12:57:5804,"(0.00, 0.00)",,,,
15:12:57:5891,"(0.00, 0.00)",,,,
15:12:57:5972,"(0.00, 0.00)",,,,
15:12:57:6078,"(0.00, 0.00)",,,,
15:12:57:6164,"(0.00, 0.00)",,,,
15:12:57:6258,"(0.00, 0.00)",,,,
15:12:57:6343,"(0.00, 0.00)",,,,
15:12:57:6422,"(0.00, 0.00)",,,,
15:12:57:6507,"(0.00, 0.00)",,,,
15:12:57:6583,"(0.00, 0.00)",,,,
15:12:57:6670,"(0.00, 0.00)",,,,
15:12:57:6767,"(0.00, 0.00)",,,,
15:12:57:6842,"(0.00, 0.00)",,,,
15:12:57:6938,"(0.00, 0.00)",,,,
15:12:57:7014,"(0.00, 0.00)",,,,
15:12:57:7107,"(0.00, 0.00)",,,,
15:12:57:7193,"(0.00, 0.00)",,,,
15:12:57:7279,"(0.00, 0.00)",,,,
15:12:57:7362,"(0.00, 0.00)",,,,
15:12:57:7452,"(0.00, 0.00)",,,,
15:12:57:7530,"(0.00, 0.00)",,,,
15:12:57:7621,"(0.00, 0.00)",,,,
15:12:57:7707,"(0.00, 0.00)",,,,
15:12:57:7778,"(0.00, 0.00)",,,,
