timestamp,SubState,missionName,lastMissionState,missionEvent
11:40:16:7620,,W-51_S-1,,nextMission
11:40:21:0148,Stop,,,
11:40:21:6822,GoStraight,,,
11:40:22:3032,Stop,,,
11:40:22:9150,GoStraight,,,
11:40:24:7076,Stop,,,
11:40:25:1856,GoStraight,,,
11:40:26:1971,Stop,,,
11:40:29:2986,GoStraight,,,
11:40:30:3797,Stop,,,
11:40:33:7051,GoLeft,,,
11:40:45:1937,,W-6_S-1,failed,nextMission
11:40:48:0548,,W-11_S-1,failed,nextMission
11:40:48:7752,,W-4_S-1,success,nextMission
11:40:51:3140,,W-15_S-1,failed,nextMission
11:40:53:8940,,W-2_S-1,failed,nextMission
11:40:57:8008,,W-14_S-1,failed,nextMission
