[01:22:59:89] Log File created @D:/Users/sxlga/Documents/Studium/Master/Semester 3/AVRO Simulation/Assets\logs\2026-02-11-13-22.log
[01:23:00:37] switching to sub-state: Scenes.Simulation.Scripts.MissionSubState
[01:23:00:37] loaded mission W-42_S-1 onto Screen
[01:23:24:47] loaded mission W-27_S-2 onto Screen
[01:23:25:12] loaded mission W-56_S-1 onto Screen
[01:23:25:67] loaded mission W-27_S-2 onto Screen
[01:23:26:28] loaded mission W-44_S-1 onto Screen
[01:23:26:85] loaded mission W-56_S-1 onto Screen
[01:23:27:77] loaded mission W-7_S-1 onto Screen
[01:23:28:05] loaded mission W-27_S-2 onto Screen
[01:23:29:53] Mission W-42_S-1 Completed unsuccessfully
[01:23:29:53] loaded motivational message onto Screen
[01:23:32:18] loaded mission W-56_S-1 onto Screen
[01:23:32:56] loaded mission W-27_S-2 onto Screen
[01:23:32:99] loaded mission W-44_S-1 onto Screen
[01:23:33:37] loaded mission W-27_S-2 onto Screen
[01:23:33:62] loaded mission W-17_S-2 onto Screen
[01:23:33:89] loaded mission W-36_S-1 onto Screen
[01:23:34:25] loaded mission W-56_S-1 onto Screen
[01:23:34:77] loaded mission W-44_S-1 onto Screen
[01:23:35:21] loaded mission W-27_S-2 onto Screen
